episodes,rewards,time
84339.15271527153,36.498435,63805.02569199993
84369.15561556155,47.476714,63850.79803199993
84399.15851585158,28.249989,63896.58363299994
84429.16141614162,51.146179,63942.38361399993
84459.16431643165,28.536018,63988.200119999936
84489.16721672167,37.523197,64034.030625999934
84519.1701170117,30.443029,64079.87489899994
84549.17301730173,29.278547,64125.732419999935
84579.17591759177,6.35421,64171.60373499993
84609.1788178818,20.854398,64217.52081999993
84639.18171817182,25.940046,64263.45119599993
84669.18461846185,36.610245,64309.39521699993
84699.18751875187,29.972434,64355.35204999993
84729.1904190419,24.973864,64401.32237799993
84759.19331933194,44.264549,64447.30599599993
84789.19621962197,29.404634,64493.30317699993
84819.199119912,17.562802,64539.31562099993
84849.20202020202,23.422409,64585.34197699993
84879.20492049205,37.318293,64631.38231799993
84909.20782078207,50.318519,64677.46151399993
84939.21072107212,1.665617,64723.55353599993
84969.21362136214,10.070514,64769.65839999993
84999.21652165217,43.094779,64815.77899499993
85029.2194219422,40.186509,64861.91419199993
85059.22232223222,49.696298,64908.062907999934
85089.22522252226,18.961033,64954.22475999993
85119.22812281229,33.821112,65000.39975599993
85149.23102310231,29.117162,65046.58822299993
85179.23392339234,12.185803,65092.78962499993
85209.23682368237,34.216637,65139.03317499993
85239.2397239724,27.76964,65185.290406999935
85269.24262426244,44.27785,65231.560202999935
85299.24552455246,49.981449,65277.84304699994
85329.24842484249,34.358023,65324.13921299994
85359.25132513251,38.32269,65370.448009999935
85389.25422542254,20.193658,65416.769925999935
85419.25712571257,29.191645,65463.10893999993
85449.26002600261,32.338591,65509.461312999934
85479.26292629263,39.654685,65555.82727799994
85509.26582658266,47.620478,65602.23545799994
85539.26872687269,32.661901,65648.65693599994
85569.27162716271,36.951878,65695.10595299995
85599.27452745276,33.332325,65741.57429499994
85629.27742774278,0.245007,65788.06309799994
85659.28032803281,49.955631,65834.57030899994
85689.28322832283,43.124303,65881.09151999994
85719.28612861286,43.486777,65927.62723599994
85749.28902890289,42.471102,65974.18013299994
85779.29192919293,47.582406,66020.74657599995
85809.29482948295,53.142616,66067.35250899995
85839.29772977298,37.927345,66113.97207499994
85869.30063006301,28.618392,66160.60541699994
85899.30353035303,50.177694,66207.25608699994
85929.30643064306,25.732312,66253.92013899994
85959.3093309331,32.702731,66300.59694299994
85989.31223122313,44.500966,66347.28704299995
86019.31513151315,55.131567,66393.99036899995
86049.31803180318,45.8214,66440.70644299994
86079.32093209321,47.716948,66487.43559499994
86109.32383238323,52.828298,66534.20819699994
86139.32673267327,53.095413,66580.99460499994
86169.3296329633,46.048142,66627.79462699994
86199.33253325333,52.293346,66674.60750899994
86229.33543354335,18.085382,66721.43331799994
86259.33833383338,45.638542,66768.27288999993
86289.34123412342,35.316655,66815.12544299994
86319.34413441345,31.428178,66861.99528899994
86349.34703470347,45.262595,66908.87837699994
86379.3499349935,44.582254,66955.77570499995
86409.35283528353,39.974944,67002.71260899995
86439.35573557355,54.496741,67049.66337199995
86469.3586358636,45.644992,67096.63039299996
86499.36153615362,16.800199,67143.60995199996
86529.36443644365,54.991157,67190.60321699995
86559.36733673367,46.126098,67237.60958699996
86589.3702370237,54.450159,67284.62893799995
86619.37313731373,43.986268,67331.66171899995
86649.37603760377,39.293813,67378.70781499996
86679.3789378938,46.188859,67425.76731399995
86709.38183818382,44.495043,67472.86904099995
86739.38473847385,31.069576,67519.98431299995
86769.38763876387,40.077296,67567.11353299995
86799.39053905391,29.77796,67614.25663499995
86829.39343934394,46.86836,67661.41341799995
86859.39633963397,50.48795,67708.58560199995
86889.399239924,34.98811,67755.77240999995
86919.40214021402,60.186683,67802.97239199995
86949.40504050405,38.493946,67850.18529199995
86979.40794079409,38.692735,67897.41087999995
87009.41084108411,51.528074,67944.67651299995
87039.41374137414,33.594049,67991.95815499996
87069.41664166417,41.648201,68039.25291199995
87099.4195419542,41.957512,68086.56068699995
87129.42244224422,49.957384,68133.88219099995
87159.42534253426,57.185622,68181.21691199996
87189.42824282429,36.127497,68228.56484499996
87219.43114311431,19.460572,68275.92654899995
87249.43404340434,46.275094,68323.30215599995
87279.43694369437,41.765267,68370.69491499994
87309.43984398441,39.49919,68418.12659899994
87339.44274427443,55.404786,68465.57195499993
87369.44564456446,43.693417,68513.03046499993
87399.44854485449,11.003953,68560.50207799993
87429.45144514451,45.309881,68607.98652999994
87459.45434543454,37.963896,68655.48793099994
87489.45724572458,39.053757,68703.00280999993
87519.46014601461,36.866289,68750.53177899994
87549.46304630463,57.596702,68798.07465099994
87579.46594659466,48.57866,68845.63130699995
87609.46884688469,39.776235,68893.23014599994
87639.47174717471,49.588809,68940.84277499994
87669.47464746475,43.264574,68988.46839099994
87699.47754775478,31.999996,69036.10741799994
87729.48044804481,35.420403,69083.75936999994
87759.48334833483,37.943238,69131.42485699995
87789.48624862486,49.034916,69179.10335399995
87819.4891489149,16.211899,69226.79503199995
87849.49204920493,48.464052,69274.50377399995
87879.49494949495,48.30016,69322.22621599995
87909.49784978498,50.62996,69369.98871999995
87939.500750075,36.02071,69417.76457499995
87969.50365036503,47.281227,69465.55363799995
87999.50655065507,38.918289,69513.35549499995
88029.5094509451,47.222527,69561.17369799996
88059.51235123513,51.493447,69609.00536599995
88089.51525152515,42.085858,69656.85039699996
88119.51815181518,13.184399,69704.70937799996
88149.5210521052,44.608222,69752.58168899996
88179.52395239525,23.954734,69800.46673399996
88209.52685268527,26.630496,69848.39447699995
88239.5297529753,53.183099,69896.33538499995
88269.53265326533,43.261409,69944.28956399995
88299.53555355535,55.190431,69992.25739499995
88329.5384538454,52.220159,70040.23903699995
88359.54135413542,28.91333,70088.23394899994
88389.54425442545,46.077441,70136.24237599994
88419.54715471547,12.579144,70184.26674299994
88449.5500550055,22.058793,70232.30520699994
88479.55295529553,46.714507,70280.35777799993
88509.55585558557,38.921789,70328.45036999993
88539.5587558756,60.217459,70376.55556099993
88569.56165616562,46.346545,70424.67362499992
88599.56455645565,58.675081,70472.80749599992
88629.56745674567,37.139466,70520.95524999993
88659.5703570357,47.53387,70569.11655699993
88689.57325732574,38.326441,70617.29069699993
88719.57615761577,46.03882,70665.47818499993
88749.5790579058,39.738322,70713.67935499993
88779.58195819582,47.029989,70761.89301499992
88809.58485848585,69.050764,70810.14971999993
88839.58775877587,29.620684,70858.41977799992
88869.59065906591,53.74904,70906.70254399993
88899.59355935594,57.261736,70954.99801999993
88929.59645964597,44.234069,71003.30703799993
88959.599359936,62.884487,71051.62918499993
88989.60226022602,42.399374,71099.96725899992
89019.60516051606,56.832341,71148.31906999992
89049.60806080609,33.107091,71196.68458599993
89079.61096109611,54.706697,71245.06325399994
89109.61386138614,56.653357,71293.48095499993
89139.61676167617,53.690474,71341.91151299993
89169.6196619662,46.975648,71390.35811999993
89199.62256225623,51.644893,71438.81795899993
89229.62546254626,49.306325,71487.29137499993
89259.62836283629,59.557546,71535.77781699992
89289.63126312631,38.101317,71584.27705599992
89319.63416341634,50.621536,71632.79026099991
89349.63706370637,50.163135,71681.31645399991
89379.63996399641,39.36269,71729.8552919999
89409.64286428643,42.887239,71778.43601699991
89439.64576457646,58.730755,71827.0296609999
89469.64866486649,35.20922,71875.63720799991
89499.65156515651,54.439378,71924.25972099991
89529.65446544655,43.452678,71972.8964049999
89559.65736573658,54.992058,72021.54632599991
89589.6602660266,57.593163,72070.21286899991
89619.66316631663,46.456896,72118.89310499991
89649.66606660666,52.526977,72167.5868709999
89679.66896689669,41.023409,72216.29355899991
89709.67186718673,49.233239,72265.0392219999
89739.67476747675,32.567691,72313.80208799991
89769.67766776678,49.843185,72362.5790029999
89799.6805680568,43.901322,72411.36925499991
89829.68346834683,54.986329,72460.1723039999
89859.68636863686,52.748139,72508.98819499991
89889.6892689269,35.658621,72557.81687399991
89919.69216921693,35.001751,72606.65862899991
89949.69506950695,40.641739,72655.52070899992
89979.69796979698,53.35165,72704.41060999992
90009.700870087,19.034989,72753.34406999992
90039.70377037705,45.97429,72802.29113499992
90069.70667066707,46.307699,72851.25192599992
90099.7095709571,45.148476,72900.22908899993
90129.71247124713,43.829172,72949.21977499993
90159.71537153715,36.9002,72998.22389199994
90189.71827182718,33.732703,73047.24120799993
90219.72117211722,54.72875,73096.27135799994
90249.72407240725,28.902743,73145.31418699994
90279.72697269727,49.069853,73194.37122799993
90309.7298729873,51.75003,73243.47300499993
90339.73277327733,61.249979,73292.58814899993
90369.73567356735,31.522506,73341.71636799994
90399.7385738574,30.946293,73390.85782599993
90429.74147414742,44.927123,73440.01313199993
90459.74437443745,29.727796,73489.18109499993
90489.74727472747,42.804156,73538.36591799994
90519.7501750175,34.348099,73587.56679799994
90549.75307530754,38.808171,73636.78312299994
90579.75597559757,50.557351,73686.01438799994
90609.7588758876,43.888933,73735.28565699994
90639.76177617762,44.345409,73784.57379999994
90669.76467646765,51.248622,73833.87536399993
90699.76757675767,29.51242,73883.19063799993
90729.77047704771,39.273432,73932.51899099993
90759.77337733774,62.81988,73981.86090599993
90789.77627762777,59.071963,74031.21619899993
90819.7791779178,35.149633,74080.58427399994
90849.78207820782,27.489165,74129.96533599994
90879.78497849785,59.96962,74179.36299999994
90909.78787878789,49.655713,74228.80042699994
90939.79077907791,49.038197,74278.25150799994
90969.79367936794,55.078499,74327.71636099994
90999.79657965797,50.319255,74377.19412699994
91029.799479948,43.244962,74426.68534299993
91059.80238023802,42.814094,74476.19334499993
91089.80528052806,59.585377,74525.71477999994
91119.80818081809,25.639196,74575.25038699993
91149.81108110811,57.989806,74624.79907799994
91179.81398139814,56.522138,74674.36092399994
91209.81688168817,46.890346,74723.96548299993
91239.8197819782,47.710428,74773.58275099994
91269.82268226823,44.277704,74823.21320999994
91299.82558255826,39.35347,74872.85626399994
91329.82848284829,48.696685,74922.51340599994
91359.83138313831,45.613251,74972.18401299993
91389.83428342834,31.43646,75021.86796399993
91419.83718371838,50.190719,75071.56503199993
91449.8400840084,44.513965,75121.27896299993
91479.84298429843,47.933387,75171.00620699993
91509.84588458846,56.235356,75220.77299699992
91539.84878487849,54.315104,75270.55335799992
91569.85168516851,54.529864,75320.34671099992
91599.85458545855,40.699408,75370.15614399992
91629.85748574858,28.073361,75419.97994999992
91659.8603860386,43.493112,75469.81667599991
91689.86328632863,49.762427,75519.66648699991
91719.86618661866,39.928759,75569.5307269999
91749.8690869087,43.555073,75619.40810499991
91779.87198719873,6.015975,75669.2982959999
91809.87488748875,56.204336,75719.23114499991
91839.87778777878,20.712975,75769.17734399991
91869.8806880688,30.0259,75819.13685099992
91899.88358835883,34.431547,75869.11001899991
91929.88648864887,37.417174,75919.09631899992
91959.8893889389,25.069248,75969.09533199991
91989.89228922893,42.259274,76019.10753699992
92019.89518951895,44.232868,76069.13594799992
92049.89808980898,47.886415,76119.17802899993
92079.900990099,48.637535,76169.23343099993
92109.90389038905,46.061382,76219.33068199993
92139.90679067907,36.168737,76269.44084299993
92169.9096909691,56.275264,76319.56794899993
92199.91259125913,36.272479,76369.70856999993
92229.91549154915,56.729573,76419.86257099993
92259.9183918392,37.384594,76470.03033999994
92289.92129212922,39.136599,76520.21115199995
92319.92419241925,43.683493,76570.40495799994
92349.92709270927,44.537033,76620.61171199994
92379.9299929993,56.086729,76670.83132799994
92409.93289328933,60.313084,76721.09439699994
92439.93579357937,16.518686,76771.37119599993
92469.9386938694,39.595745,76821.66089399993
92499.94159415942,50.481907,76871.96423599993
92529.94449444945,32.14945,76922.28096199993
92559.94739473947,54.374838,76972.61354599994
92589.9502950295,71.469785,77022.95985099993
92619.95319531954,44.13598,77073.31905899993
92649.95609560957,39.942004,77123.69228199993
92679.9589958996,47.927557,77174.07812499993
92709.96189618962,46.947691,77224.50294099993
92739.96479647965,30.264745,77274.94373599993
92769.96769676969,22.261014,77325.39765299993
92799.97059705971,25.044538,77375.86626199994
92829.97349734974,43.033646,77426.34857899994
92859.97639763977,34.944861,77476.84463199993
92889.97929792979,34.488463,77527.35366299993
92919.98219821982,32.487882,77577.87653399992
92949.98509850986,61.501293,77628.41228499993
92979.98799879989,49.901049,77678.96568199992
93009.99089908991,33.923011,77729.55933499993
93039.99379937994,50.999747,77780.16616599992
93069.99669966997,22.58713,77830.78567499992
93099.99959995999,35.234678,77881.41853499992
93130.00250025003,43.938222,77932.06813699992
93160.00540054006,21.483126,77982.73152699992
93190.00830083009,41.484517,78033.40801699992
93220.01120112011,28.923894,78084.09778199992
93250.01410141014,45.191135,78134.80055999993
